1,2,3,4
0.25,0.1,0.45,0.2
0.45,0.2,0.8,0.4
0.75,0.4,0.95,0.75
1.1,0.7,1.15,1.1
1.6,0.85,1.7,1.4
1.8,1.05,2.15,1.9
1.95,1.25,2.45,2.05
2.25,1.65,2.4,2.05
2.1,1.85,2.9,2.2
2.4,2.2,2.9,2.6
2.8,2.8,3.0,2.85
3.0,2.95,3.4,3.35
3.25,3.5,3.6,3.9
3.35,3.55,3.95,4.3
3.7,3.8,4.1,4.95
3.8,4.0,5.0,5.45
4.3,4.2,5.55,5.5
4.8,4.35,6.2,5.95
5.0,4.7,6.65,6.25
5.4,5.0,6.75,6.85
5.7,4.95,7.45,7.5
5.55,5.85,7.5,7.95
5.55,6.75,7.5,8.35
5.75,7.2,8.35,8.65
6.1,7.4,8.55,9.35
6.5,7.55,8.7,10.25
6.85,7.85,8.75,11.25
7.25,8.0,9.35,11.8
7.85,8.35,9.7,11.75
8.2,8.45,10.05,12.55
8.55,8.6,10.9,13.35
9.1,9.1,11.5,13.4
9.75,9.0,12.25,14.3
9.6,9.55,13.05,15.55
10.05,9.9,13.45,15.9
10.3,10.5,15.0,15.9
10.55,10.5,15.8,16.7
10.4,10.75,16.0,17.15
11.25,10.8,16.7,17.95
11.15,10.7,17.45,18.8
11.75,11.05,17.4,19.05
12.0,11.75,18.1,19.65
12.7,12.35,18.7,20.4
13.05,12.1,20.15,20.6
13.2,12.6,21.1,20.9
14.0,13.4,22.1,21.8
14.75,13.45,23.35,23.2
15.1,14.2,25.25,23.65
15.9,14.35,27.25,23.75
16.4,14.6,28.4,24.3
17.6,15.35,28.8,24.55
17.95,14.75,30.0,25.0
18.75,15.1,30.1,25.8
18.35,15.6,31.0,27.15
19.15,16.15,31.65,28.85
20.0,16.65,32.8,29.75
20.05,17.55,33.55,30.6
19.45,18.25,35.05,31.5
19.3,18.95,36.3,32.35
19.55,19.05,36.95,33.45
19.4,19.2,38.95,33.65
19.95,19.75,40.2,34.0
20.1,20.3,41.3,35.2
21.1,20.5,42.55,35.1
21.7,20.9,42.75,36.25
22.05,22.25,45.3,38.35
22.55,22.35,46.9,40.0
22.55,22.65,47.5,40.1
23.05,22.75,48.95,40.55
23.45,22.85,50.65,41.05
23.3,23.0,53.6,42.0
22.9,23.9,53.85,43.3
23.75,24.7,55.1,43.85
24.1,24.9,56.4,45.3
24.15,25.1,57.65,45.95
25.3,26.05,60.05,47.45
25.35,25.95,61.9,48.6
25.9,26.5,64.05,49.55
26.1,26.85,65.85,50.15
28.05,27.4,66.05,51.55
29.0,27.85,66.2,52.45
28.7,28.2,68.6,55.1
29.3,28.2,70.2,56.3
29.5,28.15,72.7,55.55
29.1,29.1,73.8,57.65
29.45,30.25,74.9,59.2
29.5,31.4,77.2,61.6
30.1,30.8,78.45,63.9
30.85,30.9,80.9,67.0
30.8,31.5,83.1,69.15
30.95,31.2,84.9,68.3
31.05,31.35,86.9,70.0
31.7,31.35,89.5,71.65
32.6,32.25,90.15,72.0
33.1,32.65,92.6,74.9
32.55,32.55,95.15,78.25
32.95,33.4,97.6,81.45
33.6,33.0,99.75,82.05
33.8,34.15,102.25,84.15
34.4,34.55,104.0,85.1
33.8,35.55,107.15,85.35
33.4,35.85,109.8,87.2
33.6,36.0,112.5,89.95
34.35,36.55,113.3,90.5
34.25,37.25,115.3,91.45
34.9,38.15,119.0,92.85
35.5,38.75,121.45,95.55
36.3,39.5,123.55,98.3
37.0,40.65,125.4,99.7
37.45,40.95,128.5,101.2
37.6,41.6,130.7,102.5
37.6,41.3,133.9,105.45
37.0,41.4,139.15,107.9
37.5,41.9,140.9,111.4
37.65,42.6,144.75,114.6
37.55,43.1,148.25,117.45
37.3,43.55,150.85,119.7
38.7,43.7,151.7,121.35
38.15,44.55,151.95,122.65
39.3,44.85,154.9,125.45
39.9,44.8,156.65,127.25
39.8,46.2,159.25,129.15
40.95,46.15,161.75,133.4
42.2,47.4,165.4,135.35
42.45,48.15,166.8,136.3
43.25,47.2,168.45,140.55
44.5,47.1,172.5,142.85
44.5,48.35,177.55,145.35
45.0,49.15,181.0,149.4
45.0,50.8,183.35,151.85
45.4,50.8,186.65,155.1
45.45,51.2,187.75,158.8
45.15,51.7,191.1,160.4
45.6,51.35,194.65,162.8
46.05,53.25,198.55,163.7
44.7,54.6,200.8,166.75
44.7,53.85,205.2,168.8
45.95,54.1,206.25,169.4
46.95,54.2,207.1,172.35
46.95,53.55,210.3,175.0
48.15,53.95,213.9,177.55
49.4,54.5,216.15,180.55
49.7,55.25,220.7,183.95
50.6,55.5,223.95,188.7
50.95,56.7,227.65,192.0
50.75,57.05,231.35,196.4
51.4,56.6,234.75,197.7
52.25,58.45,240.7,197.15
52.1,58.6,244.0,200.45
52.05,58.95,246.85,203.2
52.9,58.85,248.8,203.8
54.25,59.45,252.9,206.8
54.65,60.15,255.95,211.85
55.85,58.55,259.75,214.0
57.25,60.0,262.5,216.6
56.55,60.85,266.15,220.0
57.15,60.85,269.2,224.45
58.05,60.8,274.0,227.5
59.65,60.35,278.2,228.9
62.5,60.15,282.95,231.05
63.55,59.7,285.3,231.65
64.35,60.5,289.65,234.95
65.45,61.5,290.8,238.15
65.05,61.1,293.8,240.7
64.9,60.85,295.15,242.3
65.45,61.05,298.9,245.0
65.9,61.6,304.5,244.85
67.85,61.6,309.75,247.95
68.0,61.6,313.55,251.85
67.35,62.55,320.5,256.5
67.8,62.35,323.3,260.0
69.4,62.75,326.8,262.65
70.6,62.85,328.85,267.15
71.7,60.75,333.55,271.3
73.35,61.45,338.75,271.85
72.65,62.75,339.05,275.1
73.3,63.0,346.0,278.4
73.45,63.55,351.1,282.9
75.05,64.4,354.85,286.75
75.0,64.4,356.7,286.2
77.1,63.9,362.2,288.7
77.95,64.3,364.4,290.75
77.2,63.2,368.1,292.75
77.75,63.4,372.7,294.6
78.55,64.0,376.4,298.2
77.85,64.45,380.0,303.2
79.35,65.45,383.85,307.5
80.25,67.05,389.0,313.0
79.95,67.25,391.9,313.35
79.3,67.25,396.95,314.8
77.95,68.6,402.75,314.8
79.0,68.4,406.9,317.95
81.1,68.25,409.6,320.45
81.3,70.8,412.35,322.7
83.1,71.95,412.95,325.5
81.05,72.1,417.5,329.8
81.95,73.1,420.9,333.0
81.1,72.0,425.45,335.05
82.4,71.15,432.3,339.4
83.9,71.35,436.35,342.75
84.35,71.15,437.7,346.55
84.85,70.45,442.65,351.25
85.0,71.9,448.65,354.8
86.6,72.1,457.4,355.65
86.6,72.2,459.8,357.7
86.7,72.2,462.85,364.35
85.75,72.45,467.9,368.85
87.15,71.95,469.2,370.15
87.1,72.7,470.05,375.3
88.7,73.05,478.55,380.25
90.3,72.9,484.75,384.7
91.3,73.45,488.45,387.85
92.1,73.7,491.4,390.65
92.65,73.85,496.7,390.9
92.25,74.7,502.85,393.15
92.8,74.9,507.3,394.95
93.45,76.45,512.65,399.4
95.0,77.0,516.95,402.7
95.35,77.4,525.8,405.8
95.9,76.45,528.35,407.3
94.3,77.75,535.0,412.4
94.25,78.0,534.6,414.65
94.75,78.85,537.95,418.25
95.2,77.75,542.35,419.0
94.9,77.3,543.55,421.65
94.05,78.6,545.9,422.6
93.6,79.2,546.1,424.7
95.1,77.65,547.75,429.55
95.4,77.5,551.85,431.95
93.8,77.55,555.85,435.6
94.9,77.25,559.15,438.35
94.7,78.35,564.1,438.65
95.25,79.6,568.3,442.8
94.3,78.4,573.15,451.7
94.1,79.35,578.1,454.7
94.15,80.75,579.0,457.05
95.0,81.25,581.7,455.6
94.3,80.7,585.0,456.2
93.1,82.75,586.05,462.0
93.4,83.0,592.9,464.4
94.3,82.95,596.95,465.55
96.65,82.4,600.4,465.35
96.75,82.55,599.95,470.35
95.6,80.35,598.65,476.2
95.3,80.1,598.95,478.55
95.55,82.15,602.65,481.4
95.9,81.35,606.8,483.9
96.5,81.45,608.9,483.6
95.6,80.85,611.5,482.4
96.15,82.05,606.4,484.1
95.1,82.85,612.4,488.2
95.1,82.35,613.6,494.3
96.15,81.8,615.75,494.0
95.6,81.7,622.45,496.95
94.95,82.95,627.35,502.05
94.65,82.65,632.65,503.3
94.1,81.95,634.75,502.9
93.4,83.0,641.05,505.1
92.25,82.8,647.35,508.2
91.15,82.85,649.3,512.35
90.95,83.35,653.35,511.4
92.25,83.55,655.25,514.4
91.85,83.5,659.25,515.4
92.55,83.8,663.65,519.35
91.9,84.7,665.0,521.0
93.05,86.35,666.8,522.6
94.35,86.05,672.3,522.95
96.1,86.1,672.6,524.0
97.05,85.55,672.05,523.65
96.2,84.65,673.35,523.95
96.8,84.25,673.05,527.45
97.05,83.1,673.6,531.25
97.6,81.95,674.75,537.45
97.9,82.35,679.1,541.55
98.1,81.65,685.1,544.95
98.25,82.3,684.35,542.15
99.25,83.55,684.5,542.2
98.3,82.15,686.85,543.2
98.45,83.0,687.15,543.95
98.8,82.9,691.6,543.25
98.4,83.0,692.4,541.9
99.25,83.55,691.8,545.5
97.35,82.0,697.75,547.6
97.15,83.9,695.8,545.65
97.2,84.7,699.85,545.9
97.15,85.2,701.5,544.2
96.2,84.85,700.35,548.6
95.75,84.65,703.3,550.0
95.75,84.1,705.8,554.0
96.2,84.5,708.65,554.75
96.15,84.35,709.85,553.85
96.5,84.25,713.1,551.75
96.45,84.25,710.85,554.65
96.8,83.4,713.0,556.95
98.0,83.45,716.55,554.05
97.35,82.8,712.05,552.45
97.0,83.0,717.7,554.95
97.3,84.2,714.85,555.3
96.5,86.2,712.3,555.9
96.4,87.35,710.6,557.6
96.9,87.5,712.3,557.6
98.5,87.5,713.1,559.7
97.3,88.0,707.95,564.3
97.6,87.9,710.2,566.35
97.65,89.15,711.95,566.1
98.7,89.2,714.35,566.55
97.3,89.1,716.75,571.85
97.2,89.05,719.85,571.55
98.8,89.3,723.65,573.3
100.2,88.65,721.15,575.8
100.35,88.95,720.35,578.1
101.4,89.55,723.2,573.5
101.2,88.0,724.55,577.8
103.1,88.05,730.9,572.9
104.9,88.05,733.85,573.65
104.55,87.5,733.5,572.6
103.5,87.75,736.6,572.85
102.7,87.35,738.95,570.15
104.15,88.35,737.8,573.5
102.6,88.3,735.35,575.6
102.75,87.35,735.55,575.3
102.4,86.55,740.3,577.5
103.05,85.7,742.45,578.25
102.65,86.5,747.45,578.05
102.7,87.7,747.4,577.45
102.65,87.65,749.6,578.6
103.8,88.35,747.05,581.55
102.4,88.5,742.2,582.15
101.45,87.85,740.15,578.95
100.55,87.1,741.55,580.65
101.4,85.9,743.5,579.7
102.05,86.15,745.9,578.3
101.3,86.25,749.8,579.35
102.25,88.3,755.3,582.5
102.65,87.15,757.05,585.5
102.1,86.25,759.7,586.1
101.85,86.8,760.7,587.65
101.7,85.8,763.45,590.0
100.65,85.4,761.95,589.5
100.3,87.15,763.4,588.4
99.75,86.8,762.85,589.8
100.95,85.7,761.6,591.6
101.55,86.3,763.65,592.8
100.7,86.2,760.25,596.45
101.05,86.15,756.75,595.8
99.7,87.0,763.25,590.65
99.2,86.15,768.2,594.4
99.4,86.1,770.6,599.45
98.15,87.3,770.85,599.75
96.9,86.1,767.45,599.05
96.4,86.9,768.25,598.75
96.5,87.55,770.5,602.45
97.6,86.05,768.75,604.8
96.15,85.6,771.2,605.15
95.65,85.3,767.5,601.6
95.65,84.65,767.75,604.25
95.3,84.65,766.15,603.45
95.05,83.3,768.5,600.05
95.2,83.35,765.95,603.2
94.2,84.0,764.9,603.5
94.6,83.9,762.65,604.9
96.2,82.5,759.15,604.55
95.15,83.1,760.75,606.95
95.5,82.15,761.8,611.75
94.55,80.8,760.85,613.6
94.9,81.05,762.15,613.45
93.8,80.25,760.15,615.15
94.25,79.85,759.65,610.9
96.05,79.7,759.0,610.25
96.05,79.35,754.9,608.5
96.6,78.65,757.35,615.65
95.5,78.9,758.65,614.05
96.8,77.75,761.05,610.3
97.9,78.0,756.65,612.9
97.55,79.05,756.65,614.15
98.3,78.5,758.4,613.85
97.7,79.4,760.1,617.65
99.0,78.25,757.85,616.35
98.85,77.25,758.7,615.65
98.85,78.6,759.0,617.85
98.65,80.1,760.2,620.2
99.95,79.95,762.65,621.8
102.15,79.7,763.4,619.3
101.9,79.6,768.1,618.45
102.15,78.9,772.95,613.9
102.3,80.2,770.3,613.05
102.8,79.45,769.55,612.9
102.15,79.4,770.75,613.05
101.0,81.1,771.35,616.05
101.75,81.1,772.25,614.1
101.55,81.4,773.1,613.75
101.05,81.15,772.25,613.4
101.1,80.6,771.5,616.55
100.1,79.75,768.2,617.7
99.7,80.45,771.3,618.3
99.95,79.5,770.2,620.2
99.95,79.45,769.05,618.6
100.2,80.8,767.15,617.85
100.85,82.15,768.65,619.35
102.15,81.9,765.25,622.45
100.7,81.4,764.8,621.55
99.95,80.65,765.9,621.15
99.4,80.25,763.6,616.25
100.65,81.65,764.5,620.7
100.7,81.5,764.75,620.3
101.15,80.55,763.05,620.55
100.9,80.5,766.35,616.9
100.95,79.25,764.35,619.25
98.1,79.55,760.7,617.75
97.75,79.2,758.6,618.3
97.75,78.5,761.0,618.15
97.55,76.85,762.05,616.4
97.7,78.45,762.65,615.95
97.75,77.65,761.7,615.1
96.2,78.2,767.75,616.25
97.8,78.8,768.75,614.4
96.7,77.25,771.8,615.05
96.55,76.8,772.2,615.2
97.1,76.6,772.85,613.15
96.8,77.45,776.0,612.45
97.95,77.9,775.35,610.7
98.6,77.2,774.45,612.9
96.35,78.1,774.6,612.0
94.6,78.1,772.4,612.65
94.0,79.1,769.05,606.95
94.55,79.65,768.35,611.3
95.45,79.75,767.7,607.55
96.9,78.85,767.05,608.15
97.35,79.8,768.75,611.85
95.35,81.05,769.4,607.65
95.65,79.5,766.55,607.35
94.8,80.7,762.65,609.9
93.95,79.8,766.35,612.7
94.2,80.0,766.35,615.2
94.55,78.5,767.0,613.55
94.35,78.2,768.95,611.75
93.3,78.95,771.3,612.0
93.95,78.5,770.55,613.25
92.65,79.1,768.5,612.15
91.25,78.25,772.95,613.15
92.2,75.95,773.4,613.8
92.0,76.85,776.75,611.55
92.4,76.65,780.85,605.7
92.0,76.8,779.95,605.8
92.2,76.85,780.35,604.3
93.5,76.7,784.5,602.9
94.15,75.85,789.0,604.7
95.7,74.8,787.6,603.65
94.65,74.65,784.7,607.5
93.65,74.2,787.35,606.5
94.45,75.7,785.7,604.85
95.2,75.1,786.2,600.8
95.1,74.7,785.05,596.05
95.15,74.55,790.45,595.75
94.75,74.8,790.55,598.5
95.45,75.6,788.65,597.8
94.0,75.45,784.0,598.8
94.7,75.7,780.9,600.55
93.9,77.05,784.15,599.9
94.0,77.1,782.35,600.15
93.35,77.3,780.8,598.8
93.3,76.85,781.5,597.5
94.5,76.35,780.95,598.0
95.15,77.9,778.7,595.6
93.15,78.05,779.15,597.05
94.1,77.45,777.7,595.55
93.7,77.3,779.75,600.35
95.1,75.7,778.1,595.65
94.1,75.25,782.35,595.5
93.45,75.75,778.05,599.45
94.7,75.55,778.35,595.3
93.75,75.3,777.2,600.6
93.4,74.45,774.7,598.15
93.6,75.0,781.75,598.1
92.15,75.2,778.8,595.3
93.8,73.7,780.75,594.35
93.65,74.5,783.5,593.75
92.8,74.25,783.6,592.75
90.7,74.5,785.1,590.3
91.0,75.25,790.15,589.75
91.0,74.35,789.85,589.35
90.5,75.2,789.15,592.45
91.7,75.1,791.6,591.15
93.25,73.45,793.0,593.9
95.2,71.5,796.8,591.45
93.3,71.85,791.1,593.85
94.5,71.95,794.9,593.1
93.35,72.5,795.1,592.2
92.5,71.25,797.4,593.75
91.2,71.2,799.4,590.3
91.2,70.35,797.35,591.1
92.75,69.8,797.45,592.1
93.2,70.45,798.0,592.95
94.55,69.85,804.7,592.95
95.95,69.15,809.6,594.3
94.9,69.75,805.15,593.5
97.9,70.95,803.45,594.45
96.55,69.95,803.75,595.6
95.65,69.1,805.05,596.35
94.3,68.45,801.5,594.7
94.95,68.2,805.35,598.2
97.05,67.1,803.15,596.2
97.3,67.05,805.3,595.8
97.95,68.45,799.7,594.0
98.7,67.45,796.55,592.45
97.5,68.2,794.9,595.05
97.9,67.8,797.0,594.55
97.0,67.45,797.65,594.0
96.7,67.95,798.9,591.15
96.25,67.7,798.15,596.05
95.95,67.4,795.6,591.95
95.5,66.65,794.5,591.3
93.9,67.5,795.9,593.0
93.4,68.85,801.05,593.9
94.5,68.8,797.25,593.65
94.45,69.1,798.45,591.25
93.95,68.8,798.15,591.25
93.4,69.95,798.15,591.95
91.65,70.2,795.55,589.4
91.6,70.0,796.4,590.6
91.6,70.25,794.15,591.1
92.5,71.8,792.75,591.0
92.95,72.1,794.9,591.75
93.5,71.1,794.1,590.9
93.8,71.35,796.55,591.6
96.65,72.05,795.3,593.75
96.1,72.35,798.55,597.1
95.6,73.05,793.45,595.5
94.2,74.9,794.45,592.7
92.65,74.25,794.25,592.1
92.2,73.3,795.05,594.95
91.8,74.05,794.1,595.25
92.6,74.4,796.7,594.5
93.35,74.8,795.05,596.8
93.35,75.95,788.5,593.05
92.85,75.3,790.05,588.7
94.9,73.95,788.2,588.0
96.3,73.0,788.05,589.4
95.7,74.0,788.95,590.7
95.7,74.1,789.6,589.7
95.1,74.9,790.95,591.95
93.5,76.8,790.25,588.9
93.7,75.9,789.4,590.15
94.7,74.1,789.7,589.45
94.05,75.4,790.4,590.5
93.1,76.1,790.55,585.5
93.7,77.2,792.9,584.6
95.9,76.1,789.75,583.15
95.7,76.15,789.9,584.7
97.15,77.2,789.05,584.0
97.35,76.15,786.6,581.65
97.6,73.5,785.25,583.15
98.45,74.65,786.1,585.6
99.1,74.65,788.9,583.6
99.1,73.8,787.25,585.35
97.75,73.15,786.65,585.0
98.0,72.15,789.6,588.15
98.75,71.05,786.85,589.25
99.0,71.15,786.75,590.35
99.1,72.05,788.4,590.95
99.0,70.6,794.95,591.9
97.1,70.1,796.45,590.4
96.8,71.35,795.1,590.0
96.7,71.3,788.6,589.85
97.55,71.7,790.3,590.75
97.05,71.4,790.65,590.65
96.15,70.8,787.9,589.55
94.3,70.35,789.35,589.45
96.5,70.85,791.0,587.25
96.15,70.6,791.1,588.15
96.1,70.6,795.45,587.2
96.95,70.65,798.9,586.6
96.65,71.2,801.3,588.6
95.95,71.15,795.5,588.05
98.75,71.4,795.05,589.5
99.65,72.6,795.95,588.15
99.4,72.95,796.3,587.6
99.5,72.65,796.35,585.2
100.25,72.55,797.9,579.5
101.5,73.4,799.7,582.5
101.25,71.5,801.45,581.95
100.35,70.45,794.2,578.8
100.05,69.8,795.45,580.0
100.45,70.3,796.1,578.35
99.45,70.3,800.2,579.65
99.85,71.3,804.1,582.85
101.0,71.7,802.75,578.3
100.05,71.55,808.15,574.9
98.45,70.65,807.8,576.7
99.7,71.6,808.65,578.6
99.7,72.25,809.65,578.05
99.55,71.2,808.45,577.9
98.9,71.75,810.95,576.05
97.0,71.35,807.85,578.45
98.55,71.25,807.1,580.5
98.55,72.65,802.85,581.3
99.05,72.15,802.9,579.2
98.95,71.9,800.45,579.15
100.75,70.4,803.95,581.95
98.75,71.75,801.45,578.35
99.5,71.95,799.8,577.35
100.1,72.7,799.5,579.0
100.2,71.45,802.55,579.3
100.4,71.9,806.75,581.75
99.4,71.7,810.95,580.35
99.05,72.1,809.35,583.35
99.5,71.65,810.2,586.05
99.05,71.25,813.6,584.85
100.25,72.3,812.8,587.35
99.2,71.6,817.65,586.25
99.25,71.8,816.6,584.75
99.9,70.65,816.95,586.05
100.05,70.55,816.05,585.0
100.55,69.65,817.5,587.1
99.95,69.8,812.35,586.15
100.05,67.6,812.45,585.2
98.95,66.95,813.95,581.35
99.6,65.85,814.1,582.1
101.25,65.3,813.65,579.15
101.0,63.8,809.5,577.85
100.05,63.65,811.15,574.7
99.5,63.2,811.2,573.05
99.95,63.5,811.95,574.95
100.5,65.35,814.15,575.55
101.75,65.75,818.65,578.35
102.35,65.5,819.45,575.45
101.0,65.2,818.85,576.15
100.35,66.0,823.9,575.75
100.55,67.7,826.8,573.55
101.05,68.25,819.5,575.85
101.3,68.85,818.3,576.45
100.65,68.9,816.85,577.25
102.1,67.8,814.25,573.7
103.15,66.7,815.7,571.05
101.3,65.85,817.85,573.7
100.25,66.8,813.0,576.5
100.6,66.5,809.4,573.2
100.25,65.65,816.65,570.45
100.35,65.15,816.15,570.45
100.5,65.5,818.55,568.6
101.35,65.45,820.4,569.05
104.0,64.95,820.65,567.2
101.8,65.0,820.2,565.45
102.9,66.0,820.85,567.1
102.95,66.0,821.75,570.45
103.1,65.6,818.25,566.7
101.75,65.85,820.45,567.2
102.75,65.55,823.4,565.8
102.6,64.35,821.3,566.8
104.85,64.25,821.7,566.55
105.1,64.5,818.9,569.35
106.3,63.65,822.75,567.45
105.05,63.35,825.55,570.35
105.45,63.5,823.65,569.65
104.5,65.3,825.75,570.6
103.65,64.95,829.85,571.6
102.35,66.45,833.9,573.8
102.05,66.85,832.9,571.7
102.1,68.35,835.7,572.0
101.0,66.7,833.65,570.8
100.8,67.4,837.05,574.5
101.1,67.35,832.95,572.1
100.55,68.85,832.55,570.8
100.35,69.0,831.15,566.35
100.45,70.7,830.7,566.0
100.6,69.85,834.95,566.65
99.5,69.6,835.4,567.45
97.95,68.9,840.1,563.75
98.8,68.55,839.0,563.55
97.6,68.05,841.95,566.1
96.55,69.4,841.0,566.05
97.8,69.85,840.1,566.5
98.0,69.25,839.5,563.1
97.7,68.55,837.6,565.15
96.65,69.3,840.45,563.75
97.25,69.5,836.75,559.6
95.55,68.45,839.25,559.5
96.45,68.65,841.4,561.45
94.45,68.25,840.65,562.75
94.3,67.65,842.75,562.75
93.0,66.45,838.75,565.8
94.0,66.1,839.2,564.6
93.0,67.45,836.4,562.4
93.5,68.3,838.8,564.85
91.95,68.15,839.85,565.9
92.55,67.4,841.05,563.1
91.75,67.15,840.05,559.45
92.9,67.05,840.75,559.9
93.8,66.65,841.35,559.35
93.35,66.15,839.05,557.9
93.4,65.0,836.8,554.7
